Plot_ID,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Typology_ID
BsP8,16,0.973,0.5526315789473684,15.741444597960523,1.9513772211414817,28.302088835684213,1.8390226503426368,0.8358519801121154,30.75555555555556,30.58333333333333,T2
BsP9,13,0.899,0.5617391304347826,14.913932696776266,1.7094954545951884,23.10185522069565,1.5589992381964568,0.7587968252820148,30.00454545454545,29.768181818181816,T2
BsP10,14,0.969,0.4529166666666667,14.63175004415631,1.716171590034348,27.048230106166667,1.7638322969338716,0.8041230868903609,30.26875,29.90833333333333,T2
BuP1,7,1.0,0.4742857142857143,16.299374171428575,1.857808459358576,25.62509144071428,1.7323527466091853,0.8847929762892732,26.208571428571428,31.071428571428573,T3
BuP2,10,0.945,0.6646666666666667,13.829592405120328,2.060182970210439,24.404066812666667,1.3121914361187996,0.8327168418268337,28.3625,29.191666666666663,T2
BuP3,9,0.843,0.6822727272727273,11.341397727922017,1.949926369933223,20.33367693,1.4108311948002903,0.8242128988695961,25.452631578947365,26.389473684210525,T1
BuP4,11,0.838,0.6058823529411765,12.341068007622953,2.2662072373548163,25.218386820117647,1.6325721932941426,0.7250472158938284,26.33846153846154,29.25897435897436,T1
BuP6,12,0.935,0.6005555555555556,14.32755163822413,2.038546861009265,20.69782830655556,1.667081330417253,0.7427885480053447,28.635714285714283,30.042857142857144,T2
BuP7,13,0.977,0.5858823529411764,13.982359906494898,2.10380393891416,28.007963192941176,1.752807867226157,0.843365143118902,27.844117647058823,29.18235294117647,T2
BuP8,14,0.915,0.6592,14.480674650072196,2.150386762931283,24.4110034814,1.4082109927912507,0.7350509401487123,28.84526315789473,31.14210526315789,T2
BuP9,13,0.969,0.5619999999999999,12.397619236786817,2.2107211354462164,28.3896057056,1.8201912166460104,0.8078469336338872,25.28944444444444,28.23333333333333,T2
TmP1,6,0.936,0.5588888888888889,19.12077266090363,2.9177814188008777,26.071337613333338,1.4718575945763408,0.8502705880277295,49.36666666666666,29.45555555555556,T2
TmP2,7,0.921,0.4175,16.0992270452098,1.3798571871854517,22.68814516666667,2.1676288473661294,0.8049704513644579,40.825,24.925,T3
TmP3,10,0.905,0.5196774193548387,20.08505417350689,1.994913044592313,21.631212842258066,1.701411063049406,0.6536586429406628,29.48709677419355,24.71935483870968,T4
TmP4,5,0.81,0.4611111111111111,13.847719242169044,2.485763280838047,41.24330894777778,1.0027869076632236,0.7253568025645437,23.17222222222222,24.05555555555556,T1
TmP5,4,0.875,0.4525,21.52819481355348,3.104002577047117,24.62118995375,1.297295647135223,0.7333428999438704,21.2125,20.637500000000003,T4
TmP6,14,0.956,0.5377777777777778,15.68767452787966,2.330184917643674,29.678493185055554,1.4951097983940702,0.7025248556315132,28.46944444444445,27.98888888888889,T2
