Canonical_Species,Z_WD,Z_SLA,Z_Log10_Seed_Mass,Z_Max_Height
Elaeis guineensis,-0.15920447881500344,-1.3669587025693675,1.2531030780287205,-0.4879549964957453
Lonchocarpus cyanescens,1.0637472157777281,1.4456087871396546,-0.027228482953814522,-1.784098192675638
Mitragyna cilliata,-0.35230211480332974,0.38646583094905207,0.019047764947271735,0.2855556194984001
Pterocarpus santoxyloides,-0.35230211480332974,1.6305322528597943,1.208692079656437,-0.6355663057832087
Tetrapleura tetraptera,0.2269907931616484,-0.21815176967121294,0.08748200065642385,-0.1643691224229672
Uapaca heudeloti,0.2269907931616484,-0.15212853996060455,0.019047764947271735,0.06059324890674488
Elaeis guinensis,-0.15920447881500344,-1.3669587025693675,1.2531030780287205,-0.4879549964957453
Ficus mucosa,-1.253424416082185,-0.27368601116471347,-2.5078254490639,0.7354803614197674
Macranga bateri,-0.8672291441055328,-0.05786605507179176,0.019047764947271735,-0.8392562349359896
Nauclea diderrichii,0.4844543078127501,1.4607913376913904,-1.9433307658170476,0.9881580963788887
Termialia superba,-0.48103387212888055,-0.6647657395515953,-0.06632198940888095,2.535179328367179
Theobroma cacao,-0.8028632654427573,0.5436258448063237,1.172280132680816,-1.3736228522205256
Carica papaya,-2.347644353349366,2.0308961109090626,-0.937299490019133,-1.2260115429330622
Chrysophyllum albidum,0.35572255048719925,0.12912982879865967,0.9234385027694987,2.4642711892535227
Citrus sinenses,0.8062837011266273,-1.0822858797243247,-0.08004646507355262,-1.004594579001867
Dracena manni,-1.0603267800938587,0.29840008489996034,0.5850233355730656,-1.5950398161517207
Elaeis guineense,-0.15920447881500344,-1.3669587025693675,1.2531030780287205,-0.4879549964957453
Ficus mucuso,-1.253424416082185,-0.27368601116471347,-2.5078254490639,0.7354803614197674
Raulvolfia vomitoria,-0.22357035747777887,4.938961843588501,-0.3223023446203888,-0.8392562349359896
Trema orientalis,-1.1890585374194096,-0.5736704362411817,-1.7016797779178443,0.6929354778039619
