Bootstrap_ID,Sample_Seed,Turning_Point_Detected,Dominant_Turning_Value,SHAP_at_Turning_Value,N_Central_Turning_Candidates,CWM_WD_SHAP_Direction_Correlation,CWM_WD_SHAP_Importance_Rank
52,417983441,True,0.6247368421052633,1.1906752345412799,4,0.8327549660621606,1
53,781482251,True,0.6322222222222221,0.9397637037453068,3,0.8426453017731791,1
54,1002275723,True,0.5299999999999999,0.8490601027249673,4,0.8079788697567799,1
55,1068999196,True,0.4599999999999999,-2.0355770288294024,4,0.8875371901594542,1
56,94067870,True,0.6696,1.2721920376466804,4,0.8330291773387882,1
57,1173749071,True,0.5858823529411764,1.1903634417844589,2,0.8033100442474871,1
58,331334160,True,0.4641666666666666,-2.377661579457761,6,0.6901418228527226,1
59,1596387604,True,0.5858823529411764,1.4327346776242667,3,0.8636813334799516,1
60,1466836456,True,0.6322222222222221,0.9855390560384847,5,0.7859177900058076,1
61,1981113449,True,0.6502608591225009,0.9362271185923658,2,0.8573548563069081,1
62,1599364550,True,0.5299999999999999,1.4890610782562823,7,0.8371931145981664,1
63,787359109,True,0.5196774193548387,0.7787764814787932,6,0.8047116236071515,1
64,2077711328,True,0.54,0.6116419669748824,3,0.7253365404874823,2
65,882294416,True,0.5299999999999999,0.7758389102269281,4,0.8463088639071007,1
66,699704628,True,0.4525,-2.301954261900365,4,0.8522855160002403,1
67,1944623248,True,0.5299999999999999,0.7243307194846292,3,0.8313632652561624,1
68,795556160,True,0.4599999999999999,-2.2514410466243118,3,0.8569076337873797,1
69,163945743,True,0.42,-2.3747402294607967,4,0.9007483444363815,1
70,1008363426,True,0.5858823529411764,1.4748402481836056,1,0.8237224528775778,1
71,1708709735,True,0.4641666666666666,-2.7535358156705767,3,0.8662551987533488,1
72,406886644,True,0.636470588235294,0.8597346146160997,4,0.7266490367849526,1
73,994157306,True,0.555,1.0444426139967196,3,0.8409883500094737,1
74,279004307,True,0.6173076923076923,0.6185670829654871,3,0.8932434354268304,1
75,1474200731,True,0.5299999999999999,0.9061681902167378,4,0.765349262632952,1
