Experiment_ID,Selected_Model,Target,Plot_ID,Observed,N_OOF_Predictions,Mean_OOF_Prediction,SD_OOF_Prediction,Min_OOF_Prediction,Max_OOF_Prediction,Mean_Error,Mean_Absolute_Error,RMSE,Habitat,Zone,Absolute_Bias,Prediction_Range,MAE_Percentile,Prediction_SD_Percentile,Uncertainty_Class
CD01_CWM_WD,RIDGE,CWM_WD,BsP1,0.5485185185185185,20,0.5439810178056977,0.015102938652724171,0.5125844460875039,0.5759156663055455,-0.00453750071282073,0.012797011758869204,0.015403984253088584,Stream,Buffer,0.00453750071282073,0.0633312202180416,0.13333333333333333,1.0,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BsP10,0.4529166666666667,20,0.608557906078109,0.007716177082129157,0.5913283942331159,0.6271520772682098,0.15564123941144234,0.15564123941144234,0.15582284115255554,Stream,Buffer,0.15564123941144234,0.03582368303509387,0.9777777777777777,0.7111111111111111,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BsP2,0.5675000000000001,20,0.5423373541183889,0.011797449437172319,0.5122736253004245,0.5600955453875399,-0.025162645881611302,0.025162645881611302,0.027665494217976212,Stream,Buffer,0.025162645881611302,0.04782192008711539,0.3111111111111111,0.9666666666666667,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BsP3,0.541111111111111,20,0.5269839651399679,0.004856452981804052,0.5145799018632365,0.5338369028285455,-0.01412714597114303,0.01412714597114303,0.014899064805424276,Stream,Buffer,0.01412714597114303,0.019257000965308912,0.14444444444444443,0.24444444444444444,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BsP4,0.5199033743906257,20,0.6333784390209178,0.004956382833014454,0.6234190658994496,0.6420438392775354,0.11347506463029207,0.11347506463029207,0.11357784879586774,Stream,Buffer,0.11347506463029207,0.01862477337808577,0.8555555555555555,0.2777777777777778,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,BsP5,0.47,20,0.5761650857684727,0.005651000606861796,0.568740317158358,0.5881966588053831,0.10616508576847272,0.10616508576847272,0.1063078668476279,Stream,Buffer,0.10616508576847272,0.019456341647025033,0.8222222222222222,0.4444444444444444,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,BsP6,0.531,20,0.5366179486793017,0.008467607394439478,0.5177074214736657,0.5599030584488983,0.005617948679301571,0.0073904546690793885,0.00998382209378324,Stream,Buffer,0.005617948679301571,0.04219563697523265,0.05555555555555555,0.8,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,BsP7,0.5061111111111112,20,0.5605545518121442,0.004995935916175235,0.552982796935158,0.5695118274062368,0.05444344070103304,0.05444344070103304,0.05466076876756771,Stream,Buffer,0.05444344070103304,0.016529030471078898,0.5444444444444444,0.28888888888888886,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BsP8,0.5526315789473684,20,0.6450318517205718,0.012169082858940592,0.6146658797658189,0.6612978303086018,0.09240027277320335,0.09240027277320335,0.09315842773098289,Stream,Buffer,0.09240027277320335,0.04663195054278291,0.7666666666666667,0.9777777777777777,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BsP9,0.5617391304347826,20,0.6089206235329867,0.005693384743455309,0.5984929881110448,0.6200774506963864,0.04718149309820399,0.04718149309820399,0.04750670678252735,Stream,Buffer,0.04718149309820399,0.021584462585341635,0.5222222222222223,0.45555555555555555,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BuP1,0.4742857142857143,20,0.4718943135581761,0.007873640590565611,0.45948453757715224,0.4895226512662408,-0.0023914007275381956,0.006488118912565339,0.00803824003010625,Upland,Buffer,0.0023914007275381956,0.03003811368908854,0.03333333333333333,0.7333333333333333,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BuP10,0.61375,20,0.6690048481448991,0.008351225828826917,0.6527707222617161,0.684174656849321,0.055254848144899074,0.055254848144899074,0.05585117785434536,Upland,Buffer,0.055254848144899074,0.03140393458760493,0.5555555555555556,0.7888888888888889,MODERATE
CD01_CWM_WD,RIDGE,CWM_WD,BuP2,0.6646666666666667,20,0.538263795256822,0.004205682098298446,0.5275733860017032,0.5457566094218027,-0.12640287140984474,0.12640287140984474,0.12646932147548706,Upland,Buffer,0.12640287140984474,0.01818322342009948,0.9111111111111111,0.17777777777777778,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BuP3,0.6822727272727273,20,0.5547452648666564,0.008607473304177011,0.5393883406519171,0.5791288646650484,-0.12752746240607088,0.12752746240607088,0.1278031213804257,Upland,Buffer,0.12752746240607088,0.03974052401313133,0.9333333333333333,0.8222222222222222,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BuP4,0.6058823529411765,20,0.5938100913599442,0.007477600735561151,0.5739780567577762,0.6051488288942372,-0.012072261581232258,0.012072261581232258,0.014101712194203146,Upland,Buffer,0.012072261581232258,0.03117077213646091,0.08888888888888889,0.7,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BuP5,0.5626666666666666,20,0.6045020697405463,0.010988280975664746,0.5771940511324746,0.619792236048508,0.041835403073879694,0.041835403073879694,0.04318455919902541,Upland,Buffer,0.041835403073879694,0.0425981849160334,0.4777777777777778,0.9222222222222223,HIGH
CD01_CWM_WD,RIDGE,CWM_WD,BuP6,0.6005555555555556,20,0.5778743415827589,0.005119913441783263,0.57041185578587,0.5934316962038271,-0.022681213972796738,0.022681213972796738,0.02322370136839895,Upland,Buffer,0.022681213972796738,0.023019840417957127,0.25555555555555554,0.32222222222222224,LOW
CD01_CWM_WD,RIDGE,CWM_WD,BuP7,0.5858823529411764,20,0.588230550975098,0.007931419393839505,0.5777271620021588,0.605123709996568,0.0023481980339216555,0.006728743814974347,0.008079361170750959,Upland,Buffer,0.0023481980339216555,0.02739654799440916,0.044444444444444446,0.7444444444444445,LOW
