Experiment_ID,Predictor_Domain,Target_Domain,Target,Leakage_Status,Metric,Ridge_Mean,Ridge_SD,Ridge_Median,Null_Mean,Mean_Improvement,Proportion_Folds_Better_Than_Null
CD08_CWM_Log10_Seed_Mass,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE_WITH_CAUTION,MAE,0.27763001994037567,0.06200608754445608,0.27363393656814866,0.28549971092937726,0.007869690989001565,0.67
CD08_CWM_Log10_Seed_Mass,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE_WITH_CAUTION,R2,-0.11523343484591737,0.47299149921660566,0.04950704681732643,-0.08010718353774574,-0.03512625130817165,0.66
CD08_CWM_Log10_Seed_Mass,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Log10_Seed_Mass,ELIGIBLE_WITH_CAUTION,RMSE,0.37672956805766483,0.08316074070437503,0.37354256844617884,0.38021145545923296,0.003481887401568131,0.66
CD08_CWM_Max_Height_m,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE_WITH_CAUTION,MAE,3.334567635187863,0.6268444292529967,3.320773827136688,3.278667270912644,-0.05590036427521918,0.52
CD08_CWM_Max_Height_m,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE_WITH_CAUTION,R2,-0.067535634946403,0.25913959605801395,-0.014055287164678631,-0.06401016078148382,-0.0035254741649191766,0.6
CD08_CWM_Max_Height_m,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_Max_Height_m,ELIGIBLE_WITH_CAUTION,RMSE,4.359986386134855,0.960836811118264,4.275782136839576,4.411503502512237,0.05151711637738176,0.6
CD08_CWM_SLA,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE_WITH_CAUTION,MAE,2.125019531538227,0.4337264054956944,2.082953965597538,2.071224295686957,-0.053795235851270495,0.33
CD08_CWM_SLA,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE_WITH_CAUTION,R2,-0.1837450104717652,0.2053151666423085,-0.1116612202177828,-0.10063659585689062,-0.08310841461487457,0.31
CD08_CWM_SLA,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_SLA,ELIGIBLE_WITH_CAUTION,RMSE,2.7492888914583973,0.550439960989616,2.6851058113232265,2.6524992497336655,-0.09678964172473205,0.31
CD08_CWM_WD,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE_WITH_CAUTION,MAE,0.08286401059298713,0.010993529318742215,0.08324466210336524,0.08128889134713276,-0.0015751192458543684,0.45
CD08_CWM_WD,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE_WITH_CAUTION,R2,-0.1339074347576796,0.1598478923836895,-0.08374796188832634,-0.07999868003822025,-0.053908754719459356,0.43
CD08_CWM_WD,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION,CWM_WD,ELIGIBLE_WITH_CAUTION,RMSE,0.09775918372641222,0.011998045437560766,0.09700833494459704,0.09544995400763945,-0.002309229718772779,0.43
CD09_Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL,Estimated_Mean_DBH,ELIGIBLE,MAE,5.038687364766008,0.8799533173001467,4.951719800016118,4.903405752182969,-0.13528161258303897,0.45
