Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,Plot9,Plot10,Frequency,Individuals,Density,Relative_Density,Relative_Frequency,RIV,Zone,Habitat
Sterculia rhinopetala,2.0,,,,1.0,1.0,,,3.0,,4,7,0.0112,3.84616,4.08163,3.963,Core,Stream
Sterculia tragacantha,2.0,,,,,,,,1.0,,2,3,0.0048,1.64835,2.04082,1.844,Core,Stream
Strombosia postulata,,1.0,2.0,1.0,,1.0,2.0,2.0,,2.0,7,10,0.016,5.49452,7.14286,6.318,Core,Stream
Trichilia monadelpha,,,1.0,2.0,,2.0,5.0,,,,4,10,0.016,5.49452,4.08163,4.788,Core,Stream
24,,,,,,,,,,,98,182,0.2912,100.0,100.0,100.0,Core,Stream
Annonidium manni,,1.0,,2.0,,,,3.0,,1.0,4,7,0.009655,3.0837,3.703704,3.393702,Core,Upland
Baphia nitida,,1.0,,,1.0,,,,3.0,1.0,4,6,0.008276,2.64317,3.703704,3.173438,Core,Upland
Blighia sapida,,,,,,1.0,,,,,1,1,0.001379,0.44053,0.925926,0.683227,Core,Upland
Celtis zenkeri,,1.0,,,,1.0,,1.0,2.0,2.0,5,7,0.009655,3.0837,4.62963,3.856665,Core,Upland
Diospyros dendo,8.0,8.0,7.0,8.0,6.0,9.0,9.0,10.0,8.0,7.0,10,80,0.110345,35.2423,9.259259,22.25078,Core,Upland
Diospyrous mespiliformis,,,,,1.0,1.0,1.0,1.0,,,4,1,0.001379,0.44053,3.703704,2.072116,Core,Upland
Funtumia elastica,,,1.0,1.0,,1.0,,,1.0,1.0,5,5,0.006897,2.20264,4.62963,3.416137,Core,Upland
Garcinia kola,,,,,1.0,2.0,,1.0,,,3,4,0.005517,1.76211,2.777778,2.269946,Core,Upland
Hildegardia barteri,,,,,1.0,,1.0,,1.0,,3,3,0.004138,1.32159,2.777778,2.049682,Core,Upland
Lecaniodiscus cupaniodes,,,,1.0,,,,,1.0,1.0,3,3,0.004138,1.32159,2.777778,2.049682,Core,Upland
Maesobotrya barteri,1.0,,1.0,3.0,2.0,,,,1.0,1.0,6,9,0.012414,3.96476,5.555556,4.760157,Core,Upland
Margaritaria discoidea,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,,7,9,0.012414,3.96476,6.481481,5.22312,Core,Upland
Nauclea diderrichi,,,,1.0,,1.0,,,1.0,,3,3,0.004138,1.32159,2.777778,2.049682,Core,Upland
Nesogordonia papaverifera,1.0,2.0,3.0,1.0,2.0,,,2.0,1.0,,7,12,0.016552,5.28634,6.481481,5.883913,Core,Upland
Pterocarpus osun,,1.0,,,,,1.0,,,1.0,3,3,0.004138,1.32159,2.777778,2.049682,Core,Upland
Pycnanthus angolensis,,1.0,,,,,1.0,1.0,,1.0,4,4,0.005517,1.76211,3.703704,2.732909,Core,Upland
Ricinodendron heudelotii,,,1.0,,1.0,,,1.0,,,3,3,0.004138,1.32159,2.777778,2.049682,Core,Upland
Rinorea dentata,,,,,1.0,,3.0,,,,2,4,0.0055,1.76211,1.851852,1.806983,Core,Upland
Scotellia coriaceae,1.0,,4.0,7.0,4.0,1.0,4.0,,1.0,3.0,8,25,0.0344,11.0132,7.407407,9.210312,Core,Upland
Sterculia rhinopetala,,1.0,,1.0,1.0,1.0,2.0,,1.0,,6,7,0.0096,3.0837,5.555556,4.319628,Core,Upland
Strombosia pustulata,5.0,1.0,1.0,,7.0,1.0,2.0,1.0,2.0,2.0,9,22,0.0303,9.69163,8.333333,9.012482,Core,Upland
Terminalia superba,1.0,,,,,,,2.0,,1.0,3,4,0.0055,1.76211,2.777778,2.269946,Core,Upland
Zanthoxylum xanthoxyloides,,,,,1.0,1.0,,,,1.0,3,3,0.0041,1.32159,2.777778,2.049682,Core,Upland
24,,,,,,,,,,,108,227,0.3632,100.0,100.0,100.0,Core,Upland
Albizia ferruginea,,,,5.0,1.0,1.0,,3.0,2.0,,5,12,0.0165,8.7591,6.1728,7.4659,Transition,Major River
Aningeria robusta,,,1.0,,,1.0,,,,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River
Artocarpus communis,,,,1.0,,1.0,1.0,,,1.0,4,4,0.0055,2.9197,4.9382,3.9289,Transition,Major River
Bambusa vulgaris,1.0,1.0,,,,,,,2.0,1.0,4,5,0.0068,3.6496,4.9382,4.2939,Transition,Major River
Bligha sapida,1.0,,,,,,2.0,,1.0,,3,4,0.0057,2.9197,3.7037,3.3117,Transition,Major River
Chrysophylum albidum,,1.0,,,,1.0,,,1.0,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River
Cleistopholis patens,,,,,2.0,,,2.0,,,2,4,0.0055,2.9197,2.4691,2.6944,Transition,Major River
Cola nitida,,,,,1.0,,1.0,1.0,,2.0,4,5,0.0068,3.6496,4.9382,4.2939,Transition,Major River
Corynante pachycercus,,,5.0,,,3.0,,,,1.0,3,9,0.0124,6.5693,3.7037,5.1365,Transition,Major River
Diospyrous dendo,,,1.0,,,,,,,2.0,2,3,0.0041,2.1897,2.4691,2.3294,Transition,Major River
Elaeis guineensis,,1.0,,,,,1.0,,2.0,,3,4,0.0057,2.9197,3.7037,3.3117,Transition,Major River
Ficus exasperata,,2.0,2.0,,,1.0,,1.0,,1.0,5,7,0.0096,5.1094,6.1728,5.6411,Transition,Major River
Holarrhena floribunda,,,1.0,,,,,,1.0,,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River
Lonchocarpus cyanescens,,,,,,1.0,1.0,,1.0,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River
Macaranga barteri,,,5.0,,,,,,2.0,,2,7,0.0096,5.1094,2.4691,3.7893,Transition,Major River
Mitragyna cilliata,,,5.0,,,,,3.0,,,2,8,0.011,5.8394,2.4691,4.1542,Transition,Major River
Musanga cecropoides,,4.0,,,,,,,,,1,4,0.0055,2.9197,1.2345,2.0771,Transition,Major River
Pterocarpus santoxyloides,3.0,2.0,,,4.0,,,,,,3,9,0.0124,6.5693,3.7037,5.1365,Transition,Major River
Pycanthus angolensis,2.0,,,1.0,,1.0,1.0,,1.0,1.0,6,7,0.0096,5.1094,7.4074,6.2584,Transition,Major River
Rauvolvia vomitoria,,,4.0,,,,1.0,,,,2,5,0.0068,3.6496,2.4691,3.0593,Transition,Major River
Ricinodendron heudelotii,,,,1.0,,1.0,,1.0,,,3,3,0.0041,2.1897,3.7037,2.9467,Transition,Major River
Spondia mombin,,,,,,,1.0,,,1.0,2,2,0.0027,1.4598,2.4691,1.9644,Transition,Major River
Strombosia pustulata,1.0,,1.0,,,1.0,,1.0,,,4,4,0.0055,2.9197,4.9382,3.9289,Transition,Major River
Terminalia superba,,,,1.0,,1.0,,,,2.0,3,4,0.0055,2.9197,3.7037,3.3117,Transition,Major River
