Plot_ID,Zone,Habitat,Plot_Abundance,Structural_Abundance,DBH_Weighted_Sum,Height_Weighted_Sum,BA_Weighted_Sum,Structural_Coverage_Percent,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Class,Primary_Structural_Eligible,Sensitivity_Structural_Eligible,Structural_Analysis_Tier,Use_Primary_Association,Use_Factorial_Structural,Use_Full_Descriptive,Structural_Use_Class
CuP6,Core,Upland,21,20,442.9,467.01,7964.6,95.23809523809524,22.145,23.3505,398.23,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP7,Core,Upland,25,25,529.9,553.7,9237.2,100.0,21.195999999999998,22.148000000000003,369.48800000000006,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP8,Core,Upland,24,24,568.0,577.31,11087.5,100.0,23.666666666666668,24.05458333333333,461.9791666666667,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
CuP9,Core,Upland,25,24,499.0,521.72,8336.6,96.0,20.791666666666668,21.738333333333333,347.35833333333335,HIGH_95_99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP1,Transition,Major River,9,9,444.29999999999995,265.1,45546.899999999994,100.0,49.36666666666666,29.45555555555556,5060.766666666666,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP10,Transition,Major River,15,15,596.55,422.8,48844.299999999996,100.0,39.769999999999996,28.186666666666667,3256.2866666666664,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP2,Transition,Major River,12,12,489.9,299.1,46994.4,100.0,40.824999999999996,24.925,3916.2000000000003,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP3,Transition,Major River,31,31,914.1,766.3,24569.3,100.0,29.48709677419355,24.719354838709677,792.558064516129,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP4,Transition,Major River,9,9,208.54999999999998,216.5,3900.3,100.0,23.17222222222222,24.055555555555557,433.3666666666667,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP5,Transition,Major River,8,8,169.7,165.10000000000002,2830.4,100.0,21.2125,20.637500000000003,353.8,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP6,Transition,Major River,18,18,512.45,503.8,12843.7,100.0,28.46944444444445,27.98888888888889,713.5388888888889,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP7,Transition,Major River,10,10,266.35,252.5,6241.8,100.0,26.635,25.25,624.1800000000001,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP8,Transition,Major River,12,12,274.1,272.7,5126.7,100.0,22.84166666666667,22.724999999999998,427.22499999999997,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TmP9,Transition,Major River,13,13,792.1,378.1,91200.8,100.0,60.93076923076923,29.084615384615386,7015.446153846154,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP1,Transition,Stream,18,16,429.9,439.6,9463.27,88.88888888888889,26.86875,27.475,591.454375,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
TsP10,Transition,Stream,17,17,512.5,521.2,12927.5,100.0,30.147058823529413,30.658823529411766,760.4411764705883,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP2,Transition,Stream,13,9,252.2,253.3,6003.2,69.23076923076923,28.022222222222222,28.144444444444446,667.0222222222222,LOW_<75,False,False,DESCRIPTIVE_<75,False,False,True,FULL_DESCRIPTIVE_ONLY
TsP3,Transition,Stream,12,12,403.7,410.7,11447.1,100.0,33.641666666666666,34.225,953.9250000000001,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP4,Transition,Stream,26,26,650.4000000000001,675.3000000000001,12953.8,100.0,25.01538461538462,25.973076923076924,498.2230769230769,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP5,Transition,Stream,24,24,577.2,605.7,11009.2,100.0,24.05,25.2375,458.7166666666667,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP6,Transition,Stream,21,17,447.8,456.1,10004.07,80.95238095238095,26.341176470588238,26.829411764705885,588.474705882353,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
TsP7,Transition,Stream,22,22,606.5,624.5,13901.0,100.0,27.568181818181817,28.386363636363637,631.8636363636364,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP8,Transition,Stream,26,26,654.3,682.4,13176.1,100.0,25.165384615384614,26.246153846153845,506.7730769230769,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TsP9,Transition,Stream,30,26,632.2,625.1,12682.5,86.66666666666667,24.315384615384616,24.042307692307695,487.78846153846155,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
TuP1,Transition,Upland,7,7,153.60000000000002,163.0,3125.2999999999997,100.0,21.942857142857147,23.285714285714285,446.47142857142853,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP10,Transition,Upland,7,7,160.7,165.7,3105.0,100.0,22.957142857142856,23.67142857142857,443.57142857142856,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP2,Transition,Upland,10,9,229.3,233.0,4939.2,90.0,25.477777777777778,25.88888888888889,548.8,GOOD_90_95,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP3,Transition,Upland,9,9,230.3,229.8,5099.5,100.0,25.58888888888889,25.533333333333335,566.6111111111111,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP4,Transition,Upland,12,12,283.1,288.90000000000003,5653.0,100.0,23.59166666666667,24.075000000000003,471.0833333333333,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP5,Transition,Upland,10,10,230.1,235.1,4466.2,100.0,23.009999999999998,23.509999999999998,446.62,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP6,Transition,Upland,8,7,137.1,154.6,2421.3,87.5,19.585714285714285,22.085714285714285,345.90000000000003,MODERATE_75_90,False,True,SENSITIVITY_75_90,False,True,True,FACTORIAL_STRUCTURAL_SET_ONLY
TuP7,Transition,Upland,10,10,217.0,224.9,4141.2,100.0,21.7,22.490000000000002,414.12,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP8,Transition,Upland,9,9,198.4,212.20000000000002,3866.5,100.0,22.044444444444444,23.57777777777778,429.6111111111111,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
TuP9,Transition,Upland,8,8,161.2,168.7,2626.2,100.0,20.15,21.0875,328.275,VERY_HIGH_>=99,True,True,PRIMARY_>=90,True,True,True,PRIMARY_ASSOCIATION_SET
