Variable,Domain,Contrast_Family,Conditioning_Level,Level_1,Level_2,Contrast,Estimate,SE,Statistic,df,p,CI95_Lower,CI95_Upper,Inference_Type,q_BH,Significant_FDR,Direction
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,9.700565015050346,1.8385847794821104,5.276104275040711,74.0,1.266032347486647e-06,6.037104872354599,13.364025157746093,HC3,3.798097042459941e-06,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Stream,Core,Buffer,Core - Buffer,7.161557649981041,1.5956586053621398,4.488151554420817,74.0,2.5885409825694923e-05,3.982138475337231,10.34097682462485,HC3,5.824217210781358e-05,True,LEVEL_1_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,-2.8513005504599245,0.9093024802354597,-3.135700839308822,74.0,0.0024594642470526793,-4.6631252926049775,-1.0394758083148712,HC3,0.004427035644694823,True,LEVEL_2_HIGHER
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,ZONE_WITHIN_HABITAT,Major River,Buffer,Transition,Buffer - Transition,2.889543984191846,1.0809256380728984,2.6732125526631028,74.0,0.009238339250335991,0.7357526352753938,5.043335333108298,HC3,0.013857508875503986,True,LEVEL_1_HIGHER
FDis,FUNCTIONAL_DIVERSITY,HABITAT_WITHIN_ZONE,Core,Major River,Upland,Major River - Upland,-0.20681612733847815,0.05295134509311069,-3.9057766516565082,81.0,0.00019362071474507775,-0.31217269447888724,-0.10145956019806905,HC3,0.0017425864327056998,True,LEVEL_2_HIGHER
FDis,FUNCTIONAL_DIVERSITY,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,-0.20984709561261194,0.06465876208418177,-3.245454890389083,81.0,0.001705765424864501,-0.33849775022316214,-0.08119644100206175,HC3,0.007675944411890254,True,LEVEL_2_HIGHER
FDis,FUNCTIONAL_DIVERSITY,ZONE_WITHIN_HABITAT,Major River,Core,Buffer,Core - Buffer,-0.2298422871456538,0.06076670801071883,-3.7823718721954003,81.0,0.0002961719735352339,-0.35074897499608004,-0.10893559929522754,HC3,0.002665547761817105,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,HABITAT_WITHIN_ZONE,Core,Stream,Upland,Stream - Upland,0.09819999999999957,0.013418524141031936,7.3182414822892445,81.0,1.6285304520513738e-10,0.07150134603561205,0.12489865396438708,HC3,1.4656774068462365e-09,True,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,HABITAT_WITHIN_ZONE,Core,Major River,Upland,Major River - Upland,0.055999999999999946,0.014880179874128534,3.7633953671060456,81.0,0.0003159494909395643,0.02639310961386775,0.08560689038613215,HC3,0.0014217727092280393,True,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,HABITAT_WITHIN_ZONE,Core,Major River,Stream,Major River - Stream,-0.04219999999999963,0.01416420457907977,-2.9793413223025693,81.0,0.0038113599929285673,-0.07038232413364028,-0.014017675866358978,HC3,0.011434079978785703,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,HABITAT_WITHIN_ZONE,Transition,Stream,Upland,Stream - Upland,-0.06900000000000037,0.025776628326862963,-2.6768435004392104,81.0,0.00899342454811281,-0.12028740484679137,-0.017712595153209353,HC3,0.02023520523325382,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,HABITAT_WITHIN_ZONE,Transition,Major River,Stream,Major River - Stream,0.060399999999999954,0.025853815058641125,2.336212271303165,81.0,0.02195249698956134,0.00895901776863759,0.11184098223136232,HC3,0.03951449458121041,True,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Upland,Core,Transition,Core - Transition,-0.09069999999999971,0.019956774276074098,-4.544822662485024,81.0,1.8997525222540045e-05,-0.13040772083742086,-0.050992279162578556,HC3,0.00017097772700286042,True,LEVEL_2_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Stream,Core,Transition,Core - Transition,0.07650000000000022,0.02112388502426858,3.621492917240921,81.0,0.0005091509591397767,0.03447009486893695,0.11852990513106348,HC3,0.0022911793161289953,True,LEVEL_1_HIGHER
Pielou,TAXONOMIC_DIVERSITY,ZONE_WITHIN_HABITAT,Upland,Core,Buffer,Core - Buffer,-0.06849999999999962,0.024050487020555854,-2.848175171731572,81.0,0.005571469871175484,-0.11635292509727735,-0.020647074902721885,HC3,0.01671440961352645,True,LEVEL_2_HIGHER
Richness,TAXONOMIC_DIVERSITY,MARGINAL_ZONE,AVERAGED_OVER_HABITAT,Core,Transition,Core - Transition,4.433333333333334,0.67372803490769,6.580301106129213,81.0,4.300879160947125e-09,3.0928258765480083,5.773840790118658,CLASSICAL,6.451318741420688e-09,True,LEVEL_1_HIGHER
Richness,TAXONOMIC_DIVERSITY,MARGINAL_ZONE,AVERAGED_OVER_HABITAT,Buffer,Transition,Buffer - Transition,4.433333333333332,0.6737280349076892,6.580301106129219,81.0,4.300879160947015e-09,3.092825876548008,5.773840790118656,CLASSICAL,6.451318741420688e-09,True,LEVEL_1_HIGHER
