Zone,Habitat,Variable,N,Mean,SD,Median,Reference_Mean,Reference_SD,Standardized_Cell_Mean,Relative_Profile
Core,Upland,CWM_Log10_Seed_Mass,10,2.140360395216761,0.10489571550167276,2.134017179662451,2.2138487488002556,0.4000449141090909,-0.1837002571252654,NEAR_AVERAGE
Core,Upland,CWM_Max_Height_m,10,26.57008363578219,2.42206178343986,26.79497397215652,24.927614751117996,4.64953537438431,0.35325441198125923,NEAR_AVERAGE
Core,Upland,FDis,10,1.6947540073779064,0.09085068323722378,1.6912909485348244,1.619373419856024,0.28382128710717003,0.2655917330591874,NEAR_AVERAGE
Core,Upland,FEve,10,0.7692506559273984,0.03963094588660254,0.7701842828635965,0.7670157097624055,0.08538747756395784,0.02617416779080779,NEAR_AVERAGE
Core,Upland,Estimated_Mean_DBH,10,22.226382890605983,0.9183081494770154,22.20353448275862,28.434281973481543,6.838080051514652,-0.9078424113359853,LOW
Core,Upland,Estimated_Mean_Height,10,23.112142364394725,0.8560828161623709,23.25456034482759,27.767747892853237,4.506818726139017,-1.0330137090840927,VERY_LOW
Transition,Major River,Richness,10,8.1,2.923088169119167,8.0,9.455555555555556,3.402448262982431,-0.39840592737399566,NEAR_AVERAGE
Transition,Major River,Pielou,10,0.9256,0.05211994713052659,0.9355,0.9043555555555555,0.05759590167830805,0.3688534049367207,NEAR_AVERAGE
Transition,Major River,CWM_WD,10,0.5033698786876206,0.04973902442557573,0.5248387096774193,0.5447764842800867,0.09524364367614438,-0.43474403114249194,NEAR_AVERAGE
Transition,Major River,CWM_SLA,10,17.045340406559355,2.6805284129864844,15.98958792777201,14.499146391525384,2.6615652533832566,0.9566528612429729,HIGH
Transition,Major River,CWM_Log10_Seed_Mass,10,2.414423210656847,0.49624987537875503,2.413261832316298,2.2138487488002556,0.4000449141090909,0.5013798570674873,HIGH
Transition,Major River,CWM_Max_Height_m,10,27.09719685991978,6.469482836569703,24.87062723883654,24.927614751117996,4.64953537438431,0.4666234223648807,NEAR_AVERAGE
Transition,Major River,FDis,10,1.5416085241855781,0.3108911635584557,1.4834836964852056,1.619373419856024,0.28382128710717003,-0.27399247062494636,NEAR_AVERAGE
Transition,Major River,FEve,10,0.7845902895370728,0.08472744130067167,0.78014880344827,0.7670157097624055,0.08538747756395784,0.20582151242848643,NEAR_AVERAGE
Transition,Major River,Estimated_Mean_DBH,10,34.27103660049628,13.127602761309225,28.978270609318997,28.434281973481543,6.838080051514652,0.8535662909827858,HIGH
Transition,Major River,Estimated_Mean_Height,10,25.702813688999175,2.904609016224576,25.0875,27.767747892853237,4.506818726139017,-0.45817999998040454,NEAR_AVERAGE
Transition,Stream,Richness,10,6.4,2.118699810942761,7.0,9.455555555555556,3.402448262982431,-0.8980461477692521,LOW
Transition,Stream,Pielou,10,0.8652,0.05743943670413987,0.887,0.9043555555555555,0.05759590167830805,-0.6798323216511495,LOW
Transition,Stream,CWM_WD,10,0.3954438150085208,0.033877135799906845,0.39462566844919783,0.5447764842800867,0.09524364367614438,-1.5679016835951771,VERY_LOW
Transition,Stream,CWM_SLA,10,16.69898085235492,2.2134164502104543,16.92734631401699,14.499146391525384,2.6615652533832566,0.8265190785885153,HIGH
Transition,Stream,CWM_Log10_Seed_Mass,10,2.0282930652435143,0.4163465960133538,1.995291370522203,2.2138487488002556,0.4000449141090909,-0.4638371268135681,NEAR_AVERAGE
Transition,Stream,CWM_Max_Height_m,10,28.680232514743704,4.209231631077116,28.868482434318185,24.927614751117996,4.64953537438431,0.8070952173630096,HIGH
